Codice Ripartizione geografica;Codice Regione;Codice Provincia Storico;Codice Provincia Uts;Codice Comune alfanumerico;Codice Comune numerico;Comune;Comune dizione straniera;Sigla automobilistica;Popolazione legale;Anno Censimento;Superficie territoriale Kmq;Anno Superficie territoriale;Popolazione residente;Anno Popolazione residente
1;01;001;201;001001;1001;Agliè;;TO;2562;2021;13,1463;2025;2596;2023
1;01;001;201;001002;1002;Airasca;;TO;3660;2021;15,7393;2025;3686;2023
1;01;001;201;001003;1003;Ala di Stura;;TO;467;2021;46,3316;2025;472;2023
1;01;001;201;001004;1004;Albiano d'Ivrea;;TO;1637;2021;11,7397;2025;1617;2023
1;01;001;201;001006;1006;Almese;;TO;6331;2021;17,8741;2025;6315;2023
1;01;001;201;001007;1007;Alpette;;TO;240;2021;5,6311;2025;246;2023
1;01;001;201;001008;1008;Alpignano;;TO;16501;2021;11,9193;2025;16587;2023
1;01;001;201;001009;1009;Andezeno;;TO;2036;2021;7,4859;2025;2001;2023
1;01;001;201;001010;1010;Andrate;;TO;474;2021;9,309;2025;467;2023
1;01;001;201;001011;1011;Angrogna;;TO;827;2021;38,8781;2025;806;2023
1;01;001;201;001012;1012;Arignano;;TO;1072;2021;8,1666;2025;1073;2023
1;01;001;201;001013;1013;Avigliana;;TO;12350;2021;23,2173;2025;12191;2023
1;01;001;201;001014;1014;Azeglio;;TO;1240;2021;9,9528;2025;1242;2023
1;01;001;201;001015;1015;Bairo;;TO;790;2021;7,0859;2025;784;2023
1;01;001;201;001016;1016;Balangero;;TO;3064;2021;13,0065;2025;3061;2023
1;01;001;201;001017;1017;Baldissero Canavese;;TO;530;2021;4,5064;2025;504;2023
1;01;001;201;001018;1018;Baldissero Torinese;;TO;3755;2021;15,4046;2025;3728;2023
1;01;001;201;001019;1019;Balme;;TO;105;2021;62,7105;2025;101;2023
1;01;001;201;001020;1020;Banchette;;TO;3085;2021;2,0289;2025;3110;2023
1;01;001;201;001021;1021;Barbania;;TO;1570;2021;12,8027;2025;1562;2023
1;01;001;201;001022;1022;Bardonecchia;;TO;3044;2021;132,203;2025;2978;2023
1;01;001;201;001023;1023;Barone Canavese;;TO;556;2021;3,9864;2025;554;2023
1;01;001;201;001024;1024;Beinasco;;TO;17464;2021;6,7366;2025;17416;2023
1;01;001;201;001025;1025;Bibiana;;TO;3378;2021;18,5987;2025;3323;2023
1;01;001;201;001026;1026;Bobbio Pellice;;TO;539;2021;94,082;2025;536;2023
1;01;001;201;001027;1027;Bollengo;;TO;2098;2021;14,2237;2025;2118;2023
1;01;001;201;001028;1028;Borgaro Torinese;;TO;11827;2021;11,1093;2025;11719;2023
1;01;001;201;001029;1029;Borgiallo;;TO;582;2021;6,9647;2025;586;2023
1;01;001;201;001030;1030;Borgofranco d'Ivrea;;TO;3555;2021;13,419;2025;3468;2023
1;01;001;201;001031;1031;Borgomasino;;TO;773;2021;12,3713;2025;768;2023
1;01;001;201;001032;1032;Borgone Susa;;TO;2151;2021;4,9616;2025;2213;2023
1;01;001;201;001033;1033;Bosconero;;TO;3066;2021;10,9191;2025;3072;2023
1;01;001;201;001034;1034;Brandizzo;;TO;8701;2021;6,39;2025;8698;2023
1;01;001;201;001035;1035;Bricherasio;;TO;4616;2021;22,7583;2025;4601;2023
1;01;001;201;001036;1036;Brosso;;TO;394;2021;11,135;2025;390;2023
1;01;001;201;001037;1037;Brozolo;;TO;454;2021;8,9471;2025;444;2023
1;01;001;201;001038;1038;Bruino;;TO;8489;2021;5,5702;2025;8429;2023
1;01;001;201;001039;1039;Brusasco;;TO;1490;2021;14,3591;2025;1499;2023
1;01;001;201;001040;1040;Bruzolo;;TO;1492;2021;12,5597;2025;1485;2023
1;01;001;201;001041;1041;Buriasco;;TO;1337;2021;14,6868;2025;1315;2023
1;01;001;201;001042;1042;Burolo;;TO;1105;2021;5,476;2025;1116;2023
1;01;001;201;001043;1043;Busano;;TO;1622;2021;5,0591;2025;1595;2023
1;01;001;201;001044;1044;Bussoleno;;TO;5652;2021;37,0661;2025;5667;2023
1;01;001;201;001045;1045;Buttigliera Alta;;TO;6304;2021;8,0973;2025;6208;2023
1;01;001;201;001046;1046;Cafasse;;TO;3310;2021;10,2313;2025;3319;2023
1;01;001;201;001047;1047;Caluso;;TO;7388;2021;39,4924;2025;7334;2023
1;01;001;201;001048;1048;Cambiano;;TO;5900;2021;14,1313;2025;5884;2023
1;01;001;201;001049;1049;Campiglione Fenile;;TO;1330;2021;11,0864;2025;1305;2023
1;01;001;201;001050;1050;Candia Canavese;;TO;1209;2021;9,1318;2025;1188;2023
1;01;001;201;001051;1051;Candiolo;;TO;5610;2021;11,8499;2025;5618;2023
1;01;001;201;001052;1052;Canischio;;TO;286;2021;11,9504;2025;269;2023
1;01;001;201;001053;1053;Cantalupa;;TO;2602;2021;11,1953;2025;2589;2023
1;01;001;201;001054;1054;Cantoira;;TO;596;2021;23,0319;2025;624;2023
1;01;001;201;001055;1055;Caprie;;TO;2060;2021;16,4077;2025;2015;2023
1;01;001;201;001056;1056;Caravino;;TO;901;2021;11,537;2025;884;2023
1;01;001;201;001057;1057;Carema;;TO;739;2021;10,2591;2025;724;2023
1;01;001;201;001058;1058;Carignano;;TO;9052;2021;50,6791;2025;9125;2023
1;01;001;201;001059;1059;Carmagnola;;TO;28313;2021;95,7163;2025;28086;2023
